transaction_id,account_id,transaction_date,amount
1,997391,2024-01-19,784.92
2,997391,2024-07-24,488.29
3,274068,2023-05-18,734.9
4,997391,2022-06-21,820.11
5,379154,2024-09-14,890.6
6,749700,2024-01-11,143.77
7,274068,2024-08-07,759.14
8,653167,2024-03-03,647.0
9,653167,2024-03-05,575.94
10,749700,2024-03-15,220.33
11,749700,2024-07-19,752.08
12,653167,2024-05-27,669.93
13,749700,2024-07-05,783.46
14,653167,2024-03-17,909.93
15,749700,2024-07-16,535.78
16,379154,2024-02-23,241.85
17,749700,2024-03-06,987.51
18,653167,2024-05-01,826.67
19,653167,2024-07-03,974.11
20,274068,2022-06-14,919.41
21,997391,2022-02-03,556.38
22,653167,2024-01-26,606.63
23,379154,2024-06-16,333.72
24,379154,2023-04-19,274.14
25,997391,2024-05-30,413.71
26,274068,2024-02-23,64.45
27,653167,2024-09-20,480.62
28,749700,2022-04-16,32.37
29,379154,2024-08-17,399.49
30,274068,2024-02-16,300.13
31,274068,2023-08-23,356.87
32,274068,2024-02-22,947.96
33,274068,2024-01-04,348.41
34,997391,2021-04-08,909.53
35,653167,2023-09-10,660.27
36,997391,2024-08-01,169.6
37,379154,2024-08-21,541.06
38,997391,2024-02-13,586.53
39,749700,2024-01-25,506.62
40,749700,2024-07-05,767.35
41,749700,2024-04-11,241.84
42,653167,2024-01-08,626.17
43,379154,2022-07-06,49.12
44,274068,2022-01-14,871.03
45,997391,2024-06-06,833.36
46,749700,2024-01-16,229.03
47,997391,2021-09-29,630.45
48,379154,2024-06-08,219.22
49,274068,2022-09-04,725.68
50,749700,2024-03-18,353.5
51,997391,2024-04-22,147.56
52,653167,2024-09-21,58.78
53,749700,2024-07-09,604.68
54,749700,2024-05-21,98.48
55,379154,2024-09-09,638.37
56,653167,2022-05-23,798.27
57,749700,2024-02-20,244.41
58,749700,2024-03-16,842.09
59,379154,2024-01-31,745.58
60,653167,2024-08-21,846.29
61,997391,2024-09-16,176.01
62,379154,2024-07-20,691.24
63,379154,2024-04-03,708.36
64,274068,2024-07-31,969.48
65,749700,2024-02-28,612.22
66,274068,2024-08-13,959.09
67,274068,2023-03-27,995.12
68,749700,2024-02-05,334.26
69,749700,2024-01-17,215.8
70,749700,2024-01-28,452.09
71,997391,2022-03-13,379.98
72,997391,2024-03-08,377.53
73,749700,2024-05-13,523.5
74,997391,2024-04-12,979.16
75,749700,2024-08-10,179.83
76,997391,2024-08-05,6.13
77,749700,2021-06-25,456.27
78,997391,2021-12-16,795.1
79,274068,2022-12-27,530.16
80,749700,2024-04-15,759.16
81,379154,2023-04-22,553.01
82,997391,2022-03-26,739.51
83,997391,2024-03-15,487.77
84,749700,2024-02-05,891.4
85,653167,2023-10-20,344.76
86,379154,2024-03-26,113.03
87,379154,2024-07-25,326.39
88,749700,2022-11-24,227.55
89,274068,2022-03-08,537.66
90,379154,2023-05-19,557.89
91,379154,2024-03-07,192.24
92,997391,2023-07-29,603.78
93,274068,2024-07-29,407.93
94,274068,2024-06-14,674.81
95,274068,2024-02-15,383.21
96,749700,2024-09-24,886.44
97,997391,2023-03-05,966.68
98,997391,2023-07-27,938.3
99,749700,2024-01-29,485.61
100,749700,2024-04-28,28.85
101,274068,2024-06-04,838.89
102,274068,2022-01-16,121.83
103,749700,2024-04-04,608.72
104,749700,2024-08-10,394.59
105,379154,2024-03-07,301.34
106,379154,2024-04-09,517.5
107,653167,2021-07-18,554.16
108,997391,2024-01-22,415.29
109,379154,2022-07-25,589.24
110,653167,2024-05-11,372.61
111,997391,2021-05-20,332.83
112,274068,2022-01-07,937.88
113,749700,2024-06-21,77.73
114,997391,2024-07-06,580.83
115,997391,2024-03-30,771.45
116,274068,2024-03-23,646.74
117,653167,2024-05-20,842.89
118,274068,2024-02-01,967.25
119,749700,2024-06-17,585.41
120,274068,2024-01-20,932.85
121,379154,2022-01-13,588.03
122,653167,2024-08-10,81.69
123,749700,2024-07-17,144.57
124,749700,2023-04-08,785.2
125,274068,2023-11-23,132.12
126,653167,2023-05-05,520.18
127,749700,2024-09-05,131.91
128,997391,2021-07-22,26.04
129,274068,2024-07-25,399.66
130,749700,2021-11-16,408.01
131,997391,2024-08-20,278.43
132,653167,2023-01-26,408.63
133,997391,2021-02-26,289.48
134,274068,2021-10-16,826.08
135,653167,2024-09-21,296.51
136,653167,2024-09-25,748.25
137,749700,2021-04-28,795.29
138,749700,2024-01-30,558.14
139,997391,2024-05-24,504.62
140,749700,2024-05-03,949.59
141,997391,2024-04-25,686.04
142,379154,2024-05-04,733.47
143,379154,2021-11-18,484.87
144,379154,2022-09-12,944.82
145,749700,2024-05-07,286.66
146,749700,2022-03-22,184.5
147,653167,2024-03-24,120.82
148,997391,2024-02-04,757.17
149,653167,2024-06-24,519.22
150,379154,2023-04-20,421.38
151,997391,2024-07-04,134.57
152,997391,2024-01-03,238.62
153,749700,2024-02-12,174.29
154,379154,2021-01-11,312.11
155,749700,2024-04-13,645.64
156,749700,2024-03-20,81.39
157,997391,2024-03-15,451.73
158,749700,2022-02-06,427.18
159,997391,2024-02-04,802.24
160,749700,2024-07-07,415.69
