stock_id,date,closing_price
STK1,01/01/2022,70.00155968
STK1,02/01/2022,70.67
STK1,03/01/2022,72.49
STK1,04/01/2022,73.81
STK1,05/01/2022,74.5
STK1,06/01/2022,75.06
STK1,07/01/2022,76.56
STK1,08/01/2022,77.82
STK1,09/01/2022,78.63
STK1,10/01/2022,79.4
STK1,11/01/2022,80.8
STK1,12/01/2022,82.48
STK1,13/01/2022,84.16
STK1,14/01/2022,85.65
STK1,15/01/2022,86.34
STK1,16/01/2022,87.35
STK1,17/01/2022,87.88
STK1,18/01/2022,88.75
STK1,19/01/2022,89.5
STK1,20/01/2022,90.77
STK1,21/01/2022,91.74
STK1,22/01/2022,93.53
STK1,23/01/2022,94.51
STK1,24/01/2022,95.29
STK1,25/01/2022,96.59
STK1,26/01/2022,97.23
STK1,27/01/2022,98.94
STK1,28/01/2022,100.73
STK1,29/01/2022,102.67
STK1,30/01/2022,103.35
STK1,31/01/2022,104.44
STK1,01/02/2022,105.27
STK1,02/02/2022,107.17
STK1,03/02/2022,108.8
STK1,04/02/2022,110.46
STK1,05/02/2022,111.55
STK1,06/02/2022,112.06
STK1,07/02/2022,114.04
STK1,08/02/2022,114.85
STK1,09/02/2022,115.82
STK1,10/02/2022,117.71
STK1,11/02/2022,118.27
STK1,12/02/2022,119.5
STK1,13/02/2022,120.28
STK1,14/02/2022,121.02
STK1,15/02/2022,121.86
STK1,16/02/2022,123.07
STK1,17/02/2022,123.95
STK1,18/02/2022,125.35
STK1,19/02/2022,127.21
STK1,20/02/2022,129.2
STK1,21/02/2022,130.57
STK1,22/02/2022,132.31
STK1,23/02/2022,134.1
STK1,24/02/2022,134.83
STK1,25/02/2022,136.37
STK1,26/02/2022,138.31
STK1,27/02/2022,140.01
STK1,28/02/2022,140.78
STK1,01/03/2022,141.99
STK1,02/03/2022,142.81
STK1,03/03/2022,144.57
STK1,04/03/2022,145.88
STK1,05/03/2022,147.36
STK1,06/03/2022,148.31
STK1,07/03/2022,149.25
STK1,08/03/2022,150.89
STK1,09/03/2022,152.16
STK1,10/03/2022,154.07
STK1,11/03/2022,154.69
STK1,12/03/2022,155.3
STK1,13/03/2022,155.84
STK1,14/03/2022,157.67
STK1,15/03/2022,159.23
STK1,16/03/2022,161.19
STK1,17/03/2022,162.6
STK1,18/03/2022,164.39
STK1,19/03/2022,165.37
STK1,20/03/2022,167.08
STK1,21/03/2022,168.15
STK1,22/03/2022,169.2
STK1,23/03/2022,170.17
STK1,24/03/2022,170.9
STK1,25/03/2022,172.05
STK1,26/03/2022,173.15
STK1,27/03/2022,174.46
STK1,28/03/2022,175.96
STK1,29/03/2022,176.99
STK1,30/03/2022,178.78
STK1,31/03/2022,180.18
STK1,01/04/2022,181.13
STK1,02/04/2022,182.67
STK1,03/04/2022,184.23
STK1,04/04/2022,184.97
STK1,05/04/2022,186.22
STK1,06/04/2022,187.89
STK1,07/04/2022,189.28
STK1,08/04/2022,189.98
STK1,09/04/2022,191.38
STK1,10/04/2022,191.94
STK1,11/04/2022,193.1
STK1,12/04/2022,194.48
STK1,13/04/2022,195.6
STK1,14/04/2022,196.55
STK1,15/04/2022,197.36
STK1,16/04/2022,198.56
STK1,17/04/2022,200.52
STK1,18/04/2022,202.32
STK1,19/04/2022,203.53
STK1,20/04/2022,204.74
STK1,21/04/2022,205.69
STK1,22/04/2022,206.86
STK1,23/04/2022,208.84
STK1,24/04/2022,209.79
STK1,25/04/2022,210.95
STK1,26/04/2022,212.5
STK1,27/04/2022,213.03
STK1,28/04/2022,214.65
STK1,29/04/2022,215.23
STK1,30/04/2022,216.92
STK1,01/05/2022,218.27
STK1,02/05/2022,219.6
STK1,03/05/2022,221.23
STK1,04/05/2022,222.32
STK1,05/05/2022,223.64
STK1,06/05/2022,224.33
STK1,07/05/2022,226.08
STK1,08/05/2022,227.32
STK1,09/05/2022,228.56
STK1,10/05/2022,229.15
STK1,11/05/2022,230.27
STK1,12/05/2022,231.42
STK1,13/05/2022,232.02
STK1,14/05/2022,233.03
STK1,15/05/2022,234.71
STK1,16/05/2022,235.25
STK1,17/05/2022,236.52
STK1,18/05/2022,237.12
STK1,19/05/2022,238.06
STK1,20/05/2022,239.92
STK1,21/05/2022,240.77
STK1,22/05/2022,241.29
STK1,23/05/2022,242.05
STK1,24/05/2022,243.69
STK1,25/05/2022,245.37
STK1,26/05/2022,246.7
STK1,27/05/2022,247.44
STK1,28/05/2022,248.11
STK1,29/05/2022,249.71
STK1,30/05/2022,251.53
STK1,31/05/2022,252.72
STK1,01/06/2022,253.77
STK1,02/06/2022,255.65
STK1,03/06/2022,257.01
STK1,04/06/2022,258.02
STK1,05/06/2022,258.94
STK1,06/06/2022,259.46
STK1,07/06/2022,260.12
STK1,08/06/2022,261.83
STK1,09/06/2022,263.45
STK1,10/06/2022,265.41
STK1,11/06/2022,266.81
STK1,12/06/2022,267.88
STK1,13/06/2022,269
STK1,14/06/2022,270.99
STK1,15/06/2022,272.59
STK1,16/06/2022,273.29
STK1,17/06/2022,274.67
STK1,18/06/2022,276.61
STK1,19/06/2022,278.03
STK1,20/06/2022,278.91
STK1,21/06/2022,280.33
STK1,22/06/2022,281.98
STK1,23/06/2022,282.87
STK1,24/06/2022,283.74
STK1,25/06/2022,284.77
STK1,26/06/2022,285.33
STK1,27/06/2022,286.76
STK1,28/06/2022,288.38
STK1,29/06/2022,290.03
STK1,30/06/2022,291.95
STK1,01/07/2022,292.55
STK1,02/07/2022,293.99
STK1,03/07/2022,295.71
STK1,04/07/2022,297.13
STK1,05/07/2022,298.14
STK1,06/07/2022,299.77
STK1,07/07/2022,301.37
STK1,08/07/2022,303.03
STK1,09/07/2022,304.57
STK1,10/07/2022,306.31
STK1,11/07/2022,307.62
STK1,12/07/2022,309.15
STK1,13/07/2022,309.68
STK1,14/07/2022,311.11
STK1,15/07/2022,313.07
STK1,16/07/2022,314.08
STK1,17/07/2022,315.29
STK1,18/07/2022,317.19
STK1,19/07/2022,318.02
STK1,20/07/2022,318.56
STK1,21/07/2022,319.66
STK1,22/07/2022,321.16
STK1,23/07/2022,322.17
STK1,24/07/2022,323.79
STK1,25/07/2022,325.63
STK1,26/07/2022,327.23
STK1,27/07/2022,328.12
STK1,28/07/2022,329.77
STK1,29/07/2022,331.44
STK1,30/07/2022,333.09
STK1,31/07/2022,333.78
STK1,01/08/2022,335.43
STK1,02/08/2022,336.95
STK1,03/08/2022,338.64
STK1,04/08/2022,340.39
STK1,05/08/2022,341.53
STK1,06/08/2022,342.66
STK1,07/08/2022,343.51
STK1,08/08/2022,345.21
STK1,09/08/2022,345.97
STK1,10/08/2022,347.77
STK1,11/08/2022,349.07
STK1,12/08/2022,350.13
STK1,13/08/2022,351.11
STK1,14/08/2022,352.46
STK1,15/08/2022,354.35
STK1,16/08/2022,356.07
STK1,17/08/2022,357.57
STK1,18/08/2022,358.56
STK1,19/08/2022,360.21
STK1,20/08/2022,361.08
STK1,21/08/2022,362.6
STK1,22/08/2022,364.3
STK1,23/08/2022,365.87
STK1,24/08/2022,367.05
STK1,25/08/2022,368.88
STK1,26/08/2022,369.92
STK1,27/08/2022,370.94
STK1,28/08/2022,371.75
STK1,29/08/2022,372.92
STK1,30/08/2022,374.78
STK1,31/08/2022,375.81
STK1,01/09/2022,376.67
STK1,02/09/2022,378.67
STK1,03/09/2022,379.49
STK1,04/09/2022,381.32
STK1,05/09/2022,382
STK1,06/09/2022,383.62
STK1,07/09/2022,384.91
STK1,08/09/2022,386.67
STK1,09/09/2022,387.82
STK1,10/09/2022,389.56
STK1,11/09/2022,391.36
STK1,12/09/2022,392.48
STK1,13/09/2022,393.62
